username,name,location,company,total_contributions,latitude,longitude
crangelsmith,Camila Rangel Smith,UK,The Alan Turing Institute,1,54.7023545,-3.2765753
BrianAndrewOneil,Brian O'Neil,Unknown,100Devs,1,,
brechtjehuiskes,Brechtje,Aruba,University of Aruba,1,12.5013629,-69.9618475
Ben-P-1,,Unknown,,1,,
Aryannath,Aryan nath,Unknown,,1,,
selvi-aras,Aras Selvi,London,Imperial College London,1,51.5074456,-0.1277653
Annetrude,Annetrude de Mooij,Netherlands,@UtrechtUniversity,1,52.2434979,5.6343227
AnneliesPieterman-Bos,,Unknown,,1,,
annefou,Anne Fouilloux,"Oslo, NO",VitenHub AS,1,59.9133301,10.7389701
AnkitaGarg95,,Unknown,,1,,
aniketh-varma,Aniketh Varma,"New Delhi, India",,1,28.6138954,77.2090057
ajstewartlang,Andrew J. Stewart,"Manchester, UK",The University of Manchester,1,53.4794892,-2.2451148
anicusan,A. Leonard Nicusan,"Birmingham, UK",University of Birmingham,1,52.4948994,-1.8518439
amirbralin,Amir Bralin,Unknown,,1,,
seyhunsaral,seyhunsaral,Unknown,,1,,
alexwlchan,Alex Chan,UK,,1,54.7023545,-3.2765753
ahmedunshur,Ahmed Unshur,"Mogadishu, Somalia",,1,2.0349312,45.3419183
Adityagarg8384,,Unknown,,1,,
AbcSxyZ,AbcSxyZ,Unknown,,1,,
aakashraj01,Aakash Raj,"New Delhi ,India",Maharaja Agrasen Institute of Technology,1,28.6138954,77.2090057
AMockute,,Unknown,,1,,
JoshJohnson-Hull,,Unknown,,1,,
JohnnyRobs19,Jonathan Siew,Unknown,,1,,
JiaruiWang-Jill,Jill Wang,HK,,1,22.3492155,114.1857978
JessicaHurley,,Unknown,Energy and Environment Institute,1,,
leipzig,Jeremy Leipzig,"Whitefish, MT",@TileDB-Inc ,1,48.4108018,-114.334624
jdkent,James Kent,"Austin, TX",@PsychoinformaticsLab,1,30.2711286,-97.7436995
IsabelBirds,,Unknown,Open Data Services Cooperative,1,,
hlapp,Hilmar Lapp,"Durham, NC",Neuromatch,1,35.996653,-78.9018053
becelli,Gustavo Becelli,Unknown,BRP,1,,
gregcaporaso,Greg Caporaso,"Flagstaff, Arizona, USA",@caporaso-lab ,1,35.1987522,-111.651822
gcroci2,Giulia Crocioni,Amsterdam,VantAI,1,52.3730796,4.8924534
GabinWK,,Unknown,,1,,
EnergyResearcher,,Unknown,,1,,
Chandan-DK,Chandan-DK,Unknown,,1,,
fkohrt,Florian Kohrt,Unknown,,1,,
Aariq,Eric R. Scott,Unknown,"University of Arizona, @cct-datascience",1,,
eglerean,Enrico Glerean,Finland & Italy,Aalto University,1,60.1612812,24.7375492
eirini-zormpa,Eirini Zormpa,"Cambridge, UK",Imperial College London,1,52.1975846,0.1391537
rockita,Eirini Malliaraki,London,,1,51.5074456,-0.1277653
eddybruv,Edwin Ajong,"Manitoba, Canada",,1,55.001251,-97.001038
edbennett,Ed Bennett,"Swansea, UK","Swansea Academy of Advanced Computing, Swansea University",1,51.6195955,-3.9459248
dineshkumar12004,Dinesh kumar,Unknown,,1,,
DiegoOLopez,Diego Obed Lopez Casimiro,Unknown,,1,,
foster999,David Foster,Swansea,CanSense @cansenseltd,1,51.6195955,-3.9459248
Daniel-Mietchen,Daniel Mietchen,"Jena, Germany",,1,50.9281717,11.5879359
TwoWheelDev,Daniel Lintott,"London, England",,1,51.5074456,-0.1277653
kerchner,Dan Kerchner,"Washington, DC",George Washington University Libraries,1,38.8950982,-77.0363849
colinsauze,Colin Sauze,"Aberystwyth/Liverpool, UK",National Oceanography Centre,1,,
ClareyCollins,Clare E. Collins,Unknown,,1,,
